UUID,Number_trainning_Team,Team Name
d5802ec3-7d45-4b65-b83b-fbb496f87b2d,131,Mercedes-AMG PETRONAS Formula One Team
d12e60bf-d848-48c0-997d-400cb510f4d6,6,Scuderia Ferrari HP
e8ed8cf5-ad2a-45d2-bef4-e9882351665f,1,McLaren Mastercard Formula 1 Team
d650a5a0-9d14-49ea-b030-22245ac6863e,214,BWT Alpine Formula One Team
412e32dc-3b2b-4e6b-84a2-a729c3ef65c1,9,Oracle Red Bull Racing
58cfd443-1ebd-4ad4-b5a1-2c8fd68cc180,210,TGR Haas F1 Team
e2d306d8-a2e7-4241-a05b-e7d4bce2c786,216,Audi Revolut F1 Team
b038a79a-9891-4de1-a99d-81d3bd5cf177,215,Visa Cash App Racing Bulls Formula One Team
d172632b-966d-48e8-9f70-a884c4a3ecc5,3,Atlassian Williams F1 Team
73ee4826-7cf7-410e-a4c0-eb48b2f4ae79,117,Aston Martin Aramco Formula One Team
3a7037b9-ef3c-495c-9db9-a6e0c7b7feec,217,Cadillac Formula 1 Team
